image_file,mask_file,shape,cloud_coverage,mean_red,mean_green,mean_blue,mean_ir,std_red,std_green,std_blue,std_ir,corr_red_ir,corr_green_ir,corr_blue_ir
107568.tif,107568.tif,"(512, 512, 4)",0.4288,1317.49,1584.3,1417.52,3608.73,1718.9,1543.21,1494.06,1327.88,0.7558,0.8003,0.7693
107574.tif,107574.tif,"(512, 512, 4)",1.0,6107.3,5628.78,5244.18,5167.2,1742.34,1586.1,1443.76,1367.17,0.9962,0.9977,0.9948
107686.tif,107686.tif,"(512, 512, 4)",1.0,2386.26,2216.55,2060.61,2010.19,587.63,535.15,496.22,505.39,0.9943,0.995,0.9795
107704.tif,107704.tif,"(512, 512, 4)",0.0,297.82,573.94,356.89,2978.41,170.35,149.21,294.73,1218.15,-0.8765,-0.7107,-0.9278
107790.tif,107790.tif,"(512, 512, 4)",0.919,3400.37,3403.33,3309.26,4249.73,3220.72,2958.25,2806.52,2325.31,0.9575,0.9623,0.9551
108060.tif,108060.tif,"(512, 512, 4)",0.9483,1851.78,1984.25,2148.37,2596.05,1364.07,1268.27,1252.82,1291.66,0.9352,0.9426,0.973
108105.tif,108105.tif,"(512, 512, 4)",0.3721,634.91,465.65,361.72,328.91,1139.92,1087.21,1053.88,1039.34,0.9984,0.9988,0.9962
108248.tif,108248.tif,"(512, 512, 4)",0.7104,3658.31,3574.42,3261.31,4938.24,3475.99,3161.2,3049.43,2182.2,0.9137,0.9246,0.9173
108256.tif,108256.tif,"(512, 512, 4)",1.0,4483.74,4301.87,4512.37,4626.46,1385.31,1248.55,1072.91,1006.12,0.9938,0.9959,0.9932
108356.tif,108356.tif,"(512, 512, 4)",0.5278,1685.02,1837.11,1647.37,3966.64,1918.94,1728.11,1677.73,1289.93,0.7801,0.8112,0.7861
108454.tif,108454.tif,"(512, 512, 4)",0.9934,2038.52,1932.82,1813.65,1675.55,641.78,608.96,602.2,596.53,0.993,0.9956,0.9866
108491.tif,108491.tif,"(512, 512, 4)",1.0,1951.36,1947.58,1821.84,3022.52,661.28,607.31,570.62,565.14,0.8975,0.9148,0.8052
108513.tif,108513.tif,"(512, 512, 4)",1.0,5147.74,4910.93,4644.22,5433.96,1422.79,1305.02,1255.06,1025.0,0.9881,0.9925,0.9777
108574.tif,108574.tif,"(512, 512, 4)",0.0426,256.31,153.65,65.61,50.03,45.87,44.91,43.88,45.14,0.8562,0.93,0.8642
108602.tif,108602.tif,"(512, 512, 4)",0.6038,966.8,1025.47,986.29,2693.97,1384.8,1322.39,1311.55,1445.85,0.8442,0.8644,0.8539
108721.tif,108721.tif,"(512, 512, 4)",0.4915,905.73,774.24,705.57,686.4,908.3,877.31,857.85,857.65,0.9986,0.999,0.998
108827.tif,108827.tif,"(512, 512, 4)",0.154,631.27,806.6,800.69,2835.72,518.75,540.31,560.35,1025.73,0.6592,0.7327,0.6936
108874.tif,108874.tif,"(512, 512, 4)",0.1669,877.29,936.89,513.86,396.03,940.68,926.89,932.72,902.26,0.9909,0.9874,0.9893
108886.tif,108886.tif,"(512, 512, 4)",0.7126,4914.18,4704.8,4620.55,5019.26,4460.3,4235.28,4046.18,3863.25,0.9891,0.993,0.9911
108887.tif,108887.tif,"(512, 512, 4)",0.9939,4420.17,4216.24,3918.02,5126.77,2673.52,2527.47,2487.1,1715.57,0.9631,0.9673,0.9634
109231.tif,109231.tif,"(512, 512, 4)",0.3971,2130.31,2065.67,1777.41,3749.46,2413.35,2319.52,2340.73,1833.19,0.8901,0.9043,0.9008
109330.tif,109330.tif,"(512, 512, 4)",0.3967,1188.55,1350.16,1588.92,2345.92,1332.65,1296.11,1280.61,1293.26,0.9449,0.9599,0.971
109363.tif,109363.tif,"(512, 512, 4)",1.0,5087.28,5092.59,5235.57,5787.32,2427.56,2115.44,1858.82,1671.22,0.9821,0.991,0.9715
109576.tif,109576.tif,"(512, 512, 4)",0.9778,6279.4,5994.11,5638.34,6212.2,2790.6,2614.41,2524.88,1999.1,0.9865,0.9888,0.9867
109585.tif,109585.tif,"(512, 512, 4)",0.2492,896.2,1044.28,838.73,2959.26,1209.74,1137.28,1146.22,980.97,0.7741,0.8028,0.7778
109738.tif,109738.tif,"(512, 512, 4)",0.1968,837.81,1018.96,1088.11,2337.88,1048.41,1011.78,1015.67,982.92,0.8555,0.886,0.8755
109756.tif,109756.tif,"(512, 512, 4)",0.7068,2864.79,2825.6,2606.45,4501.72,2782.37,2666.13,2729.94,1903.56,0.9066,0.9164,0.9086
109767.tif,109767.tif,"(512, 512, 4)",0.9784,2634.86,2500.29,1805.26,1584.14,299.09,269.84,273.13,279.62,0.9822,0.9706,0.9852
109853.tif,109853.tif,"(512, 512, 4)",0.3135,1057.85,1242.78,1161.72,2837.03,1765.12,1632.56,1564.95,1347.9,0.9106,0.9259,0.9175
109909.tif,109909.tif,"(512, 512, 4)",0.654,3591.4,3499.87,3247.85,4633.66,3460.33,3299.48,3307.57,2557.67,0.9456,0.9542,0.9494
110048.tif,110048.tif,"(512, 512, 4)",0.3688,843.99,980.03,946.94,1936.8,1241.46,1203.78,1184.4,1145.12,0.9366,0.9517,0.9404
110060.tif,110060.tif,"(512, 512, 4)",1.0,4512.25,4217.21,4040.69,3917.23,1800.43,1724.0,1677.35,1631.06,0.9995,0.9996,0.9991
110139.tif,110139.tif,"(512, 512, 4)",0.0,650.28,965.04,822.39,2775.04,340.81,369.89,519.84,732.71,0.2525,0.4103,0.2072
110142.tif,110142.tif,"(512, 512, 4)",1.0,7848.14,7379.83,7205.69,7358.82,2225.07,2144.43,2128.92,2214.74,0.9974,0.9965,0.9867
110195.tif,110195.tif,"(512, 512, 4)",0.7221,1105.65,1305.22,1295.26,2706.47,1046.45,982.54,975.21,979.19,0.8442,0.8776,0.8558
110215.tif,110215.tif,"(512, 512, 4)",1.0,4096.8,3758.23,3473.49,3179.14,1034.51,1002.01,985.4,949.91,0.9982,0.9976,0.9931
110644.tif,110644.tif,"(512, 512, 4)",0.6696,1742.61,1691.08,1473.98,2874.16,988.47,888.34,843.18,775.7,0.947,0.9451,0.9117
110821.tif,110821.tif,"(512, 512, 4)",0.1523,576.45,952.4,579.13,3663.82,528.73,493.62,485.86,805.01,0.4103,0.5558,0.3865
111060.tif,111060.tif,"(512, 512, 4)",0.105,910.92,1159.61,1628.87,2532.59,311.84,350.32,454.7,533.94,0.6855,0.794,0.8758
111091.tif,111091.tif,"(512, 512, 4)",0.8464,4739.23,4565.2,4244.62,5257.38,3556.37,3314.82,3285.28,2372.82,0.9541,0.9614,0.9561
111106.tif,111106.tif,"(512, 512, 4)",1.0,5713.24,5026.95,5001.66,5081.68,1667.9,1758.9,2060.52,2380.44,0.9731,0.9888,0.9836
111230.tif,111230.tif,"(512, 512, 4)",0.6516,730.27,961.36,720.29,3977.54,478.78,433.14,425.75,508.29,0.3606,0.4218,0.3275
111307.tif,111307.tif,"(512, 512, 4)",0.9953,7872.32,7420.97,7075.28,6901.12,3320.06,3101.81,2908.75,2607.07,0.9935,0.9959,0.9919
111691.tif,111691.tif,"(512, 512, 4)",1.0,3407.91,3269.43,3101.15,3655.0,1235.98,1142.71,1111.91,905.04,0.963,0.961,0.9006
111846.tif,111846.tif,"(512, 512, 4)",0.9718,6776.11,6506.94,6339.05,6679.78,3355.14,3118.28,3016.68,2732.02,0.996,0.9966,0.9951
111949.tif,111949.tif,"(512, 512, 4)",0.2664,827.04,1001.94,1251.95,1964.58,1086.68,1026.89,1012.38,1084.06,0.8904,0.9278,0.9582
111991.tif,111991.tif,"(512, 512, 4)",0.11,1060.84,924.23,866.16,835.25,861.78,814.06,791.08,795.34,0.9973,0.9982,0.9952
112038.tif,112038.tif,"(512, 512, 4)",1.0,1198.52,1134.25,1033.83,980.88,365.53,394.37,404.8,414.73,0.9247,0.9617,0.9943
112166.tif,112166.tif,"(512, 512, 4)",0.2987,645.11,741.88,544.78,2945.92,256.29,230.0,217.04,343.19,0.4585,0.5134,0.3982
112210.tif,112210.tif,"(512, 512, 4)",0.3852,1115.37,1211.62,1092.92,2424.64,1752.86,1677.77,1652.09,1480.6,0.9124,0.9283,0.9182
112394.tif,112394.tif,"(512, 512, 4)",0.8862,1393.46,1609.03,1544.89,2862.12,662.06,619.97,647.19,624.81,0.5796,0.6048,0.4288
112426.tif,112426.tif,"(512, 512, 4)",0.0225,552.34,519.37,470.25,425.5,76.77,76.88,78.21,71.95,0.8824,0.873,0.6555
112439.tif,112439.tif,"(512, 512, 4)",0.9424,1853.34,2010.61,2305.49,2718.81,1155.81,1107.39,1080.92,1088.99,0.9759,0.9807,0.9656
112537.tif,112537.tif,"(512, 512, 4)",0.3263,673.51,503.85,427.39,365.7,721.08,697.89,686.05,653.55,0.9983,0.9986,0.9946
112542.tif,112542.tif,"(512, 512, 4)",1.0,6833.9,6521.02,6320.22,6307.69,1319.64,1236.96,1185.72,1155.3,0.9838,0.9874,0.9875
112653.tif,112653.tif,"(512, 512, 4)",0.0,647.53,867.97,847.01,1588.5,209.45,249.8,404.95,1366.59,-0.7976,-0.7643,-0.8448
112782.tif,112782.tif,"(512, 512, 4)",0.5011,1277.64,1318.66,1261.17,2671.19,1887.16,1794.72,1784.65,1976.44,0.8529,0.875,0.8615
112800.tif,112800.tif,"(512, 512, 4)",0.6032,1272.57,1484.57,1381.17,2780.5,1278.1,1209.17,1165.15,1116.02,0.856,0.8816,0.844
112861.tif,112861.tif,"(512, 512, 4)",1.0,3430.09,3959.34,4669.14,5530.03,998.55,823.36,651.34,574.51,0.9243,0.937,0.8897
112884.tif,112884.tif,"(512, 512, 4)",0.607,1797.1,1969.73,1696.35,4538.66,2080.0,1928.2,1901.52,1434.86,0.8195,0.8422,0.8212
112940.tif,112940.tif,"(512, 512, 4)",0.8388,5140.06,4911.15,4598.21,5480.95,3539.93,3319.5,3199.66,2458.15,0.9802,0.9825,0.9804
112960.tif,112960.tif,"(512, 512, 4)",0.9796,4084.64,4225.46,4262.48,5138.38,1576.44,1412.69,1301.92,1226.06,0.9935,0.9961,0.9904
113026.tif,113026.tif,"(512, 512, 4)",0.9822,4357.97,4073.98,3820.35,3519.74,1557.07,1464.56,1396.86,1315.35,0.9965,0.997,0.9838
113228.tif,113228.tif,"(512, 512, 4)",0.4767,1863.96,2054.5,1765.21,4016.5,2140.97,1949.82,1941.95,1460.78,0.7798,0.8017,0.7806
113266.tif,113266.tif,"(512, 512, 4)",0.7718,2284.58,2262.63,2132.27,2152.89,1925.21,1824.66,1784.14,1732.25,0.9543,0.9634,0.9681
113280.tif,113280.tif,"(512, 512, 4)",1.0,957.87,1166.54,1079.32,2920.56,297.99,290.79,285.01,443.69,0.6692,0.7604,0.6562
113368.tif,113368.tif,"(512, 512, 4)",1.0,1171.06,1223.19,1162.03,2204.87,458.1,433.84,426.37,458.04,0.7954,0.8342,0.8428
113390.tif,113390.tif,"(512, 512, 4)",0.0,2185.5,2076.49,1942.07,2010.04,1088.47,1027.06,974.53,1023.14,0.9937,0.9949,0.9733
113406.tif,113406.tif,"(512, 512, 4)",1.0,11749.92,11047.34,10439.6,9849.66,1651.14,1589.7,1537.01,1394.93,0.9855,0.9914,0.9856
113524.tif,113524.tif,"(512, 512, 4)",0.098,481.12,892.34,716.09,3391.15,403.66,389.83,449.85,599.6,0.2821,0.345,0.1419
113595.tif,113595.tif,"(512, 512, 4)",0.9854,3264.66,3277.14,3260.41,3749.42,1934.44,1764.93,1661.04,1451.21,0.9897,0.9916,0.9874
114338.tif,114338.tif,"(512, 512, 4)",0.6868,2130.15,2151.64,2084.13,3066.76,1222.89,1139.73,1094.63,1040.63,0.988,0.9904,0.9907
114400.tif,114400.tif,"(512, 512, 4)",0.9951,1190.13,1307.4,1195.83,2651.43,555.91,509.47,478.08,545.5,0.8289,0.8753,0.8075
114463.tif,114463.tif,"(512, 512, 4)",1.0,3459.29,3303.0,2991.35,3948.88,1860.31,1755.14,1747.16,1567.15,0.9778,0.9795,0.9503
114549.tif,114549.tif,"(512, 512, 4)",0.2881,2005.73,2367.51,2487.04,2536.68,230.01,239.96,267.84,321.36,0.4084,0.5022,0.4526
114594.tif,114594.tif,"(512, 512, 4)",0.7531,3238.09,3186.29,2941.53,4041.07,3020.94,2750.06,2639.42,2084.54,0.9431,0.9535,0.9454
114663.tif,114663.tif,"(512, 512, 4)",0.8715,3457.23,3377.87,3114.07,4496.95,2951.88,2780.87,2748.67,2160.4,0.8901,0.9023,0.8938
114760.tif,114760.tif,"(512, 512, 4)",1.0,6017.47,5582.11,4973.88,5923.71,4528.71,3995.58,3730.52,2774.45,0.9782,0.9831,0.9771
114768.tif,114768.tif,"(512, 512, 4)",1.0,2938.69,2774.51,2454.97,3681.43,1629.79,1500.19,1463.29,1339.37,0.9447,0.9522,0.8918
114800.tif,114800.tif,"(512, 512, 4)",1.0,6986.34,6515.05,6139.8,5919.86,1345.86,1258.93,1200.25,1221.45,0.9832,0.9839,0.9148
114835.tif,114835.tif,"(512, 512, 4)",1.0,2391.46,2442.59,2376.85,3705.46,803.49,763.84,771.9,753.68,0.9225,0.9333,0.9068
114892.tif,114892.tif,"(512, 512, 4)",0.3716,1506.41,1660.73,1603.27,3131.31,2175.29,2011.41,1932.1,1622.25,0.9263,0.9385,0.933
115063.tif,115063.tif,"(512, 512, 4)",1.0,3447.86,3317.1,3126.54,3950.89,1263.16,1172.12,1121.21,1054.31,0.987,0.9933,0.9583
115208.tif,115208.tif,"(512, 512, 4)",0.0379,801.08,1112.59,1013.99,3363.86,298.28,288.35,359.12,551.55,0.0345,0.1412,-0.1681
115440.tif,115440.tif,"(512, 512, 4)",0.6606,2185.22,2221.4,2022.67,3821.56,2054.59,1981.3,2011.53,1538.15,0.8867,0.8984,0.8834
115474.tif,115474.tif,"(512, 512, 4)",1.0,4262.15,4069.71,3803.71,4839.23,1352.81,1249.86,1213.26,986.5,0.9933,0.9956,0.9821
115582.tif,115582.tif,"(512, 512, 4)",0.0,530.98,746.57,875.21,1511.17,217.97,278.7,348.37,540.73,0.6236,0.7305,0.6632
115743.tif,115743.tif,"(512, 512, 4)",0.0592,657.1,830.49,1039.61,1833.51,522.22,517.5,544.11,571.06,0.8691,0.9034,0.9067
115799.tif,115799.tif,"(512, 512, 4)",1.0,7418.54,6959.27,6548.36,6134.26,1235.75,1197.42,1170.83,1121.71,0.9974,0.9985,0.9966
115997.tif,115997.tif,"(512, 512, 4)",0.9955,2099.41,2071.33,1978.29,3104.59,1569.58,1512.58,1503.34,1498.97,0.9723,0.9783,0.9718
116093.tif,116093.tif,"(512, 512, 4)",0.5176,3208.62,3309.53,3537.54,4033.19,3113.24,2828.67,2567.92,2219.27,0.9624,0.9747,0.982
116389.tif,116389.tif,"(512, 512, 4)",1.0,9356.04,8751.89,8297.97,7864.56,1738.07,1626.28,1526.94,1620.2,0.9951,0.9961,0.9802
116405.tif,116405.tif,"(512, 512, 4)",0.8885,3055.27,3043.99,2928.04,4436.89,2141.3,2033.26,2027.45,1963.06,0.9577,0.9688,0.9641
116470.tif,116470.tif,"(512, 512, 4)",0.0332,459.65,580.11,369.89,3203.71,334.47,328.15,336.44,504.77,0.4294,0.5038,0.4288
116495.tif,116495.tif,"(512, 512, 4)",0.9868,6732.37,6404.98,6131.8,6279.46,3268.41,3006.13,2845.87,2409.8,0.9907,0.9927,0.9896
116547.tif,116547.tif,"(512, 512, 4)",0.7306,4824.91,4707.25,4549.8,5112.87,4497.33,4253.02,4083.68,3811.17,0.9819,0.9853,0.9805
